Chelsea,1,1,Liverpool
West Ham,3,1,Chelsea
Chelsea,3,0,Luton Town
Chelsea,0,1,Nottingham Forest
Bournemouth,0,0,Chelsea
Chelsea,0,1,Aston Villa
Fullham,0,2,Chelsea
Burnley,1,4,Chelsea
Chelsea,2,2,Arsenal
Chelsea,0,2,Brentford
Tottenham,1,4,Chelsea
Chelsea,4,4,Manchester City
Newcastle,4,1,Chelsea
Brighton,4,0,Luton Town
Wolves,1,4,Brighton
Brighton,1,3,West Ham
Brighton,3,1,Newcastle
Manchester United,1,3,Brighton
Brighton,3,1,Bournemouth
Aston Villa,6,1,Brighton
Brighton,2,2,Liverpool
Manchester City,2,1,Brighton
Brighton,1,1,Fulham
Everton,1,1,Brighton
Brighton,1,1,Sheffield United
Nottingham Forest,2,3,Brighton
